block,SELL_UniswapV2,BUY_UniswapV2,SELL_Sakeswap,BUY_Sakeswap,SELL_Sushiswap,BUY_Sushiswap,SELL_Shebaswap,BUY_Shebaswap,SELL_Croswap,BUY_Croswap,MinBuy,MaxSell,profit
14175838,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.2173,3222.1037,3199.2073,3221.2173,0.688
14175838,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.2173,3222.1037,3199.2073,3221.2173,0.688
14175839,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.2173,3222.1037,3199.2073,3221.2173,0.688
14175842,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.2173,3222.1037,3199.2073,3221.2173,0.688
14175843,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.2173,3222.1037,3199.2073,3221.2173,0.688
14175843,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.2173,3222.1037,3199.2073,3221.2173,0.688
14175845,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.2173,3222.1037,3199.2073,3221.2173,0.688
14175845,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.2173,3222.1037,3199.2073,3221.2173,0.688
14175845,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.2173,3222.1037,3199.2073,3221.2173,0.688
14175846,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.1035,3221.9899,3199.2073,3221.1035,0.6844
14175847,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.1035,3221.9899,3199.2073,3221.1035,0.6844
14175848,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.1035,3221.9899,3199.2073,3221.1035,0.6844
14175849,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.1035,3221.9899,3199.2073,3221.1035,0.6844
14175849,3201.0563,3201.1367,2864.7248,3373.825,3200.8792,3200.9318,3199.0687,3199.2073,3221.1035,3221.9899,3199.2073,3221.1035,0.6844
14175851,3201.0563,3201.1367,2864.7248,3373.825,3197.9352,3197.9879,3199.0687,3199.2073,3221.1035,3221.9899,3197.9879,3221.1035,0.7228
14175852,3201.0563,3201.1367,2864.7248,3373.825,3197.9352,3197.9879,3199.0687,3199.2073,3221.1035,3221.9899,3197.9879,3221.1035,0.7228
14175852,3201.0563,3201.1367,2864.7248,3373.825,3197.9352,3197.9879,3199.0687,3199.2073,3221.1035,3221.9899,3197.9879,3221.1035,0.7228
14175852,3201.0563,3201.1367,2864.7248,3373.825,3197.9352,3197.9879,3199.0687,3199.2073,3221.1035,3221.9899,3197.9879,3221.1035,0.7228
14175853,3201.0563,3201.1367,2864.7248,3373.825,3197.9352,3197.9879,3199.0687,3199.2073,3221.1035,3221.9899,3197.9879,3221.1035,0.7228
14175853,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3221.1035,3221.9899,3187.5305,3221.1035,1.0533
14175854,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3221.1035,3221.9899,3187.5305,3221.1035,1.0533
14175855,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3221.1035,3221.9899,3187.5305,3221.1035,1.0533
14175855,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3221.1035,3221.9899,3187.5305,3221.1035,1.0533
14175855,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3221.1035,3221.9899,3187.5305,3221.1035,1.0533
14175856,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3221.1035,3221.9899,3187.5305,3221.1035,1.0533
14175856,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3221.1035,3221.9899,3187.5305,3221.1035,1.0533
14175857,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3221.1035,3221.9899,3187.5305,3221.1035,1.0533
14175858,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3221.1035,3221.9899,3187.5305,3221.1035,1.0533
14175859,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3221.1035,3221.9899,3187.5305,3221.1035,1.0533
14175859,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3221.1035,3221.9899,3187.5305,3221.1035,1.0533
14175860,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.5305,3207.7169,0.6333
14175860,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.5305,3207.7169,0.6333
14175860,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.5305,3207.7169,0.6333
14175860,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.5305,3207.7169,0.6333
14175861,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.5305,3207.7169,0.6333
14175862,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.5305,3207.7169,0.6333
14175862,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.5305,3207.7169,0.6333
14175863,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.5305,3207.7169,0.6333
14175863,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.5305,3207.7169,0.6333
14175863,3187.4503,3187.5305,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.5305,3207.7169,0.6333
14175864,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.607,3207.7169,0.6309
14175864,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.607,3207.7169,0.6309
14175864,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.607,3207.7169,0.6309
14175864,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.607,3207.7169,0.6309
